date,title,price,weight,kind,site,location
2022-08-24 12:31:52,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",32900,5,부사,Coupang,경상남도
2022-08-24 12:31:54,"고산지 재배 당도선별 사과, 1.5kg(5~8입), 1봉",12800,1.5,,Coupang,
2022-08-24 12:31:58,"[농장직송] 22년 첫 출하 경북 햇 홍로 사과 (당일수확출고), 정품 홍로사과 2kg 한입소과(11과내외)",14700,2,홍로,Coupang,경상남도
2022-08-24 12:32:03,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 25-28과",15900,5,홍로,Coupang,경상남도
2022-08-24 12:32:09,"푸릇푸릇 청송 사과 부사 꿀사과 세척사과 명품 선물세트 사과직거래 가정용 흠집사과 못난이사과 흠과 5kg 10kg, 가정용 흠과 특당도 9kg 25~30과",39750,9,부사,Coupang,경상북도
2022-08-24 12:32:13,"세척사과 껍질채 먹는 고당도 단단한 정품 사과 꿀 부사, 4.5kg 1박스 (20-28과)",32200,4.5,부사,Coupang,
2022-08-24 12:32:15,"국내산 당도선별 안동세척 사과, 2kg(7~12입), 1개",16800,2,,Coupang,경상북도
2022-08-24 12:32:20,"[한울지기] 22년 청송 사과 홍로 부사 당도선별 꿀사과 3kg 대과 중과, 3kg 13-15과 중과",15800,3,홍로,Coupang,경상북도
2022-08-24 12:32:24,"껍질째먹는 훈이네 경북 부사 청송 가정용 선물용 꿀사과 3kg 5kg 10kg, 소과(아침대용)5KG",31900,5,부사,Coupang,경상남도
2022-08-24 12:32:34,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 29-33과",13900,5,홍로,Coupang,경상남도
2022-08-24 12:32:38,[영주마실] 아오리 새콤달콤 한입사과 5KG 여름의 왕,12900,5,아오리,Coupang,경상북도
2022-08-24 12:32:44,"FRESH 못난이 가정용 주스용 사과, 못난이 사과 10kg",29900,10,,Coupang,
2022-08-24 12:32:50,"아오리사과 4kg 정말 맛있는 사과 농원직송, 1박스, 4kg(아오리사과/29과 내외)",12700,4,아오리,Coupang,
2022-08-24 12:32:54,"아오리 사과 1.3kg봉(6~8입), 1.3kg, 1개",7890,1.3,아오리,Coupang,
2022-08-24 12:32:59,"사과사랑 아삭아삭 사과, 가정용 사과 5kg 꼬마소과",15200,5,,Coupang,
2022-08-24 12:33:11,"산지직송 경북 청송 꿀 사과 부사 세척 사과 가정용 중과 대과 특과 5kg, 아삭 제철 사과 5kg (26-30과) - 중과",17860,5,부사,Coupang,경상남도
2022-08-24 12:33:18,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 03.가정용흠과 사과 2KG/ 소과",14300,2,,Coupang,
2022-08-24 12:33:25,"A[공주네농장] 새벽이슬맺힌 안동꿀사과 ~할인특가판매 행사중~, 1박스, 01. 가정용 흠과 2KG / 소과",13900,2,,Coupang,충청남도
2022-08-24 12:33:33,"[착한식탁] 껍질채먹는 햇 홍로 세척 사과 5kg(24-28과), 세척사과 5kg 24-28과 내외",22800,5,홍로,Coupang,
2022-08-24 12:33:37,"프레샤인 GAP 인증 충주 초록사과, 1.3kg(5~9입), 1봉",11900,1.3,,Coupang,충청북도
2022-08-24 12:33:42,"클라스가 다른 경북 햇 홍로 세척사과 5kg(가정용), 1박스, 홍로 세척사과 가정용 5kg 25-28과",18900,5,홍로,Coupang,경상남도
2022-08-24 12:33:47,"햇사과 농부네 부부농장 산지직송, 1박스, 03.사과 가정용 2kg 대과",18900,2,,Coupang,
2022-08-24 12:33:48,아삭아삭당도좋은고랭자사과10kg(55-70과),19900,10,,Coupang,
2022-08-24 12:33:55,"(드디어~ 첫수확! 초초초특가) 초록 아오리 햇사과 4kg(14-25과)(중소랜덤) 첫수확 초특가, 1",9900,4,아오리,Coupang,
2022-08-24 12:33:59,[자연맛남] 아삭아삭 세척사과 3kg (17과내),18400,3,,Coupang,
2022-08-24 12:34:09,"[청도 산지직송] 22년 청도 홍로사과 3kg 5kg 햇 사과 홍로 부사, 햇 사과(홍로) 3kg(21-25과)",13900,3,홍로,Coupang,경상북도
2022-08-24 12:34:14,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 04.가정용흠과 사과 2KG/중과",15900,2,,Coupang,
2022-08-24 12:34:20,"[별담농]22년 햇 가을사과 홍로 요까 감홍 양광 홍옥 시나노 2.5kg~10kg 가정용/주스용, 가을7kg간식(33-41)",33900,7,홍로,Coupang,
2022-08-24 12:34:25,"경북 청송 홈골농원 꿀 사과 부사 한박스, 가정용 (크기혼합), 10kg",34900,10,부사,Coupang,경상남도
2022-08-24 12:34:33,"[장길영사과] 사과 알뜰 특대과 5kg(10~16과), 상세 설명 참조, 상세 설명 참조",15900,5,,Coupang,
2022-08-24 12:34:43,"(고씨네농장) 2022년 햇사과 홍로 고당도 빨간 꿀사과 경북사과 5kg 35900, 중소과 3kg (12~15과)",28900,3,홍로,Coupang,
2022-08-24 12:34:50,"[장길영사과] 갈아먹는 알뜰사과 중소과 10kg(33~46과), 상세 설명 참조, 상세 설명 참조",15900,10,,Coupang,
2022-08-24 12:34:57,"[산지 직송] 가정용 아오리 사과 5KG 10KG, 5KG 꼬마(31~35과)",13200,5,아오리,Coupang,
2022-08-24 12:35:03,"프레샤인 GAP 인증 충주 깨끗이 씻은 초록사과, 2.5kg, 1박스",19900,2.5,,Coupang,충청북도
2022-08-24 12:35:17,"늘품 가정용 껍질채먹는 흠집 아오리 사과 안동 청송사과 못난이 경북사과 5kg 10kg, 꿀맛 햇 아오리 꼬마 5kg (31-35과)",11900,5,아오리,Coupang,경상북도
2022-08-24 12:35:22,"[이푸룸] 신선한 세척사과 1.5kg(8~10과), 상세 설명 참조",10500,1.5,,Coupang,
2022-08-24 12:35:37,"첫 수확 햇 아오리 사과 문경 찬미네농원 10kg 5kg, 1박스, 5. 문경 햇 아오리 사과 5kg 중과 19-22과",29400,5,아오리,Coupang,경상북도
2022-08-24 12:35:43,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 04.가정용흠과 사과 2KG/중과",15900,2,,Coupang,
2022-08-24 12:35:50,"[산지 직송] 가정용 아오리 사과 5KG 10KG, 5KG 꼬마(31~35과)",13200,5,아오리,Coupang,
2022-08-24 12:35:57,"(드디어~ 첫수확! 초초초특가) 초록 아오리 햇사과 4kg(14-25과)(중소랜덤) 첫수확 초특가, 1",9900,4,아오리,Coupang,
2022-08-24 12:36:02,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",32900,5,부사,Coupang,경상남도
2022-08-24 12:36:07,"꿀당도 햇 홍로 사과 5kg, 홍로사과 5kg(17~18과)",32900,5,홍로,Coupang,
2022-08-24 12:36:16,"클라스가 다른 경북 햇 아오리사과 (가정용) 10kg, 1박스, 경북 햇 아오리사과 (가정용) 10kg 48-51과",18900,10,아오리,Coupang,경상남도
2022-08-24 12:36:25,"내고향농수산 청송 사과 부사 꿀사과 세척사과 명품 선물세트 사과직거래 가정용 흠집사과 못난이사과 흠과 5kg 10kg, 가정용 흠과 특당도 9kg 25~30과",39800,9,부사,Coupang,경상북도
2022-08-24 12:36:26,"푸드베이스 산지직송 초록사과, 4kg(19~24입), 1개",22900,4,,Coupang,
2022-08-24 12:36:30,"[장길영사과] 갈아먹는 알뜰사과 특대과 10kg(20~32과), 상세 설명 참조, 상세 설명 참조",19900,10,,Coupang,
2022-08-24 12:36:43,"경북 안동 명품 사과 5kg 선물세트 아오리 홍로 아리수 부사 안동댁사과 유명한곳 5키로 한박스 맛있는 꿀 햇 명품 프리미엄 가정용 흠집 흠사과 청 풋 못난이 기스, 01. 햇 아오리 사과, 3kg 중과, 12-15과 정품",19900,3,홍로,Coupang,경상남도
2022-08-24 12:36:45,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 05.가정용흠과 사과 2KG/대과",17900,2,,Coupang,
2022-08-24 12:36:48,"새콤달콤 햇 아오리 햇 사과 5KG (당일배송), 꼬마사과 4.5KG",12900,4.5,아오리,Coupang,
2022-08-24 12:36:51,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 10.가정용흠과 사과 5KG / 중과",33000,5,,Coupang,
2022-08-24 12:36:53,"경북영천 고당도 꿀사과 4.5kg, 소과 4kg",22500,4,,Coupang,경상북도
2022-08-24 12:37:00,"[장길영사과] 갈아먹는 알뜰사과 중소과 10kg(33~46과), 상세 설명 참조, 상세 설명 참조",15900,10,,Coupang,
2022-08-24 12:37:04,(용이다팜) 정품 가정용 사과10kg 홍로 (50과내외),24900,10,홍로,Coupang,
2022-08-24 12:37:08,"[청도 산지직송] 22년 청도 홍로사과 3kg 5kg 햇 사과 홍로 부사, 햇 사과(홍로) 3kg(21-25과)",13900,3,홍로,Coupang,경상북도
2022-08-24 12:37:11,"2022년 수확 빨간사과 [이음몰] 아삭 세척 사과 2.5kg, 1box, 1_아삭2.5kg 가정용[소과~꼬마](12~16과)",14900,12.5,,Coupang,
2022-08-24 12:37:13,"다조은 사과 + 배 세트 800g, 1팩",11000,0,,Coupang,
2022-08-24 12:37:16,"프레시잉 경북 아오리사과 2kg 3kg 5kg 10kg, 꼬마 아오리사과 3kg",7560,3,아오리,Coupang,경상남도
2022-08-24 12:37:19,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 09.가정용흠과 사과 5KG/ 소과",30000,5,,Coupang,
2022-08-24 12:37:22,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 11.가정용흠과 사과 5KG / 대과",38000,5,,Coupang,
2022-08-24 12:37:37,"2022년 수확 [이음몰] 아삭 세척 사과 2.5kg+2.5kg 1+1 원플러스원, 1box, 1_아삭 가정용[소과~꼬마](12~16과)1+1",27900,2.5,,Coupang,
2022-08-24 12:37:39,"경북 부사 사과 흠과 주스용 9kg(랜덤과), 단품",18520,9,부사,Coupang,경상남도
